Outcome,Variable,Coefficient,Std_Error,Odds_Ratio,CI_Lower,CI_Upper,P_Value
stunting,Intercept,1.3972,0.5247,4.044,1.4459,11.3105,0.0078
stunting,C(sex)[T.Male],-0.025,0.0984,0.9753,0.8042,1.1829,0.7996
stunting,C(mother_education)[T.No education],0.7557,0.1819,2.1291,1.4907,3.0409,0.0
stunting,C(mother_education)[T.Primary],0.4864,0.1649,1.6265,1.1772,2.2473,0.0032
stunting,C(mother_education)[T.Secondary],0.2009,0.1677,1.2225,0.8801,1.6983,0.2308
stunting,C(wealth_index)[T.Poorer],0.281,0.1487,1.3244,0.9896,1.7725,0.0588
stunting,C(wealth_index)[T.Poorest],0.4688,0.1531,1.598,1.1838,2.1571,0.0022
stunting,C(wealth_index)[T.Richer],-0.2687,0.1633,0.7644,0.555,1.0527,0.0999
stunting,C(wealth_index)[T.Richest],-0.4361,0.1744,0.6466,0.4594,0.91,0.0124
stunting,C(urban_rural)[T.Urban],-0.179,0.1037,0.8361,0.6823,1.0245,0.0842
stunting,C(sanitation)[T.Unimproved],0.2401,0.1088,1.2714,1.0273,1.5736,0.0273
stunting,C(water_source)[T.Unimproved],0.2919,0.1066,1.3389,1.0864,1.6502,0.0062
stunting,C(immunization)[T.Partial/None],0.2514,0.1049,1.2858,1.0469,1.5792,0.0165
stunting,age_months,-0.0062,0.0028,0.9938,0.9883,0.9994,0.03
stunting,birth_weight,-0.2786,0.1103,0.7568,0.6097,0.9395,0.0115
stunting,dietary_diversity,-0.1892,0.0269,0.8276,0.7851,0.8723,0.0
stunting,maternal_bmi,-0.037,0.0172,0.9636,0.9317,0.9966,0.031
wasting,Intercept,0.2396,0.5739,1.2707,0.4126,3.9133,0.6764
wasting,C(sex)[T.Male],-0.0618,0.1075,0.9401,0.7614,1.1606,0.5654
wasting,C(mother_education)[T.No education],0.8341,0.2036,2.3028,1.5451,3.4321,0.0
wasting,C(mother_education)[T.Primary],0.4994,0.1895,1.6477,1.1365,2.3888,0.0084
wasting,C(mother_education)[T.Secondary],0.245,0.1939,1.2776,0.8737,1.8682,0.2063
wasting,C(wealth_index)[T.Poorer],0.0691,0.1636,1.0716,0.7776,1.4767,0.6726
wasting,C(wealth_index)[T.Poorest],0.4429,0.1635,1.5571,1.1303,2.1452,0.0067
wasting,C(wealth_index)[T.Richer],-0.6484,0.1972,0.5229,0.3553,0.7696,0.001
wasting,C(wealth_index)[T.Richest],-0.1661,0.1883,0.847,0.5856,1.2251,0.3778
wasting,C(urban_rural)[T.Urban],-0.1488,0.114,0.8617,0.6892,1.0775,0.1918
wasting,C(sanitation)[T.Unimproved],0.193,0.1187,1.2129,0.961,1.5307,0.1041
wasting,C(water_source)[T.Unimproved],0.1263,0.1166,1.1346,0.9029,1.4258,0.2787
wasting,C(immunization)[T.Partial/None],0.1065,0.114,1.1123,0.8897,1.3908,0.3502
wasting,age_months,-0.0024,0.0031,0.9976,0.9916,1.0037,0.4375
wasting,birth_weight,-0.2222,0.1212,0.8008,0.6315,1.0155,0.0668
wasting,dietary_diversity,-0.0999,0.0292,0.9049,0.8546,0.9581,0.0006
wasting,maternal_bmi,-0.0352,0.0188,0.9654,0.9305,1.0015,0.0605
underweight,Intercept,0.8047,0.5438,2.2361,0.7703,6.4915,0.1389
underweight,C(sex)[T.Male],-0.0539,0.1025,0.9475,0.7751,1.1583,0.5989
underweight,C(mother_education)[T.No education],0.7747,0.1855,2.17,1.5085,3.1216,0.0
underweight,C(mother_education)[T.Primary],0.3024,0.1703,1.353,0.9691,1.889,0.0758
underweight,C(mother_education)[T.Secondary],-0.097,0.1755,0.9075,0.6433,1.2802,0.5804
underweight,C(wealth_index)[T.Poorer],0.3859,0.1544,1.4709,1.0869,1.9907,0.0124
underweight,C(wealth_index)[T.Poorest],0.4778,0.1583,1.6125,1.1825,2.1989,0.0025
underweight,C(wealth_index)[T.Richer],-0.3623,0.1771,0.6961,0.492,0.9849,0.0408
underweight,C(wealth_index)[T.Richest],-0.3566,0.1856,0.7,0.4865,1.0073,0.0547
underweight,C(urban_rural)[T.Urban],-0.2752,0.1089,0.7595,0.6135,0.9401,0.0115
underweight,C(sanitation)[T.Unimproved],0.2812,0.1126,1.3248,1.0625,1.6518,0.0125
underweight,C(water_source)[T.Unimproved],0.2325,0.1105,1.2618,1.0161,1.5668,0.0353
underweight,C(immunization)[T.Partial/None],0.2621,0.1083,1.2997,1.0511,1.6071,0.0155
underweight,age_months,0.0003,0.003,1.0003,0.9945,1.0061,0.9283
underweight,birth_weight,-0.3554,0.1153,0.7009,0.5591,0.8787,0.0021
underweight,dietary_diversity,-0.1375,0.0278,0.8715,0.8253,0.9202,0.0
underweight,maternal_bmi,-0.0249,0.0178,0.9754,0.9419,1.0102,0.1633
